Id,MSZoning,LotArea,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,ExterQual,Foundation,TotalBsmtSF,HeatingQC,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,KitchenQual,SalePrice
51,RL,8797.0,Sawyer,10,1981,2010,TA,PConc,1467.0,Gd,939,3,0,4,8,0,1.0,268.4265074645149,2,60,TA,212245
52,RL,13898.0,Mitchel,8,1968,1988,TA,CBlock,488.0,Gd,2028,2,0,2,4,0,1.0,257.02706232431683,48,11,TA,229105
53,C,,CollgCr,9,1902,1910,Gd,CBlock,957.0,Ex,1619,2,0,1,5,2,2.0,474.08402183953854,27,5,Gd,225126
54,FV,4122.0,Somerst,9,1986,1991,TA,PConc,747.0,Ex,1066,2,1,2,6,1,2.0,523.8324986078987,207,30,TA,218161
55,RL,8826.0,NoRidge,7,1989,2010,Gd,CBlock,1550.0,Gd,1322,2,1,3,6,0,2.0,444.30886223731375,75,1,Ex,225654
56,RM,7099.0,Edwards,9,1936,1974,Gd,CBlock,1179.0,TA,1972,2,0,2,4,0,2.0,,82,14,Gd,248051
57,RL,9156.0,Crawfor,4,1987,2008,TA,PConc,805.0,TA,1388,1,0,3,5,0,2.0,465.2981967807548,0,49,Gd,178399
58,RL,9222.0,Mitchel,5,1948,1952,TA,CBlock,916.0,Ex,1365,1,1,3,5,2,2.0,635.9893792989014,75,10,TA,203622
59,RL,13592.0,Somerst,3,1918,1940,Gd,PConc,,Ex,1187,1,0,2,6,2,3.0,882.2952980571756,10,80,Gd,141976
60,RL,12085.0,OldTown,6,1988,2004,Ex,CBlock,716.0,TA,1090,2,0,4,7,0,1.0,281.89142451948493,44,93,Gd,187994
61,RL,10789.0,SawyerW,6,1984,1995,TA,PConc,470.0,TA,1973,1,1,3,5,0,2.0,410.58133867075054,29,50,TA,213536
62,RL,9991.0,Timber,5,1911,1933,TA,CBlock,1087.0,Ex,2169,1,1,3,5,1,3.0,827.7741401055648,42,131,Gd,236633
63,RL,6823.0,BrkSide,8,1960,1975,Gd,PConc,1094.0,Gd,1105,1,0,3,7,0,3.0,766.8900007627744,7,22,Gd,214643
64,RL,3456.0,NAmes,6,1940,1942,Gd,PConc,1199.0,TA,2061,2,0,3,5,0,1.0,286.7038041854844,30,25,Gd,215277
65,RL,10339.0,Sawyer,6,1932,1961,TA,CBlock,1201.0,TA,1305,2,1,4,7,1,2.0,519.3437057076163,1,54,Gd,188079
66,RL,12383.0,NWAmes,7,1949,1970,TA,CBlock,1531.0,TA,1713,2,1,2,4,0,2.0,499.59694003770176,2,20,TA,234557
67,RL,9674.0,Sawyer,5,1967,1975,Fa,Slab,484.0,Ex,2064,1,1,3,6,1,1.0,257.0135288900968,53,15,Gd,205824
68,C,8395.0,Edwards,8,2005,2010,Gd,CBlock,639.0,Gd,1441,1,0,4,7,0,3.0,587.4930037539709,151,28,Gd,225310
69,RM,11393.0,Crawfor,4,1970,2006,TA,CBlock,1198.0,Ex,1368,2,1,3,6,1,2.0,453.95580366993215,75,32,TA,194150
70,RH,9750.0,CollgCr,10,1985,2007,Gd,CBlock,668.0,TA,1820,2,0,3,7,1,2.0,522.4001323221963,31,41,TA,246546
71,RL,15057.0,Edwards,8,1932,1944,TA,PConc,,Ex,1056,1,1,3,7,1,1.0,284.18165075219747,2,33,TA,164066
72,RL,13698.0,NoRidge,5,1980,2010,Gd,PConc,1559.0,Gd,1958,1,0,3,6,1,2.0,466.9704130212729,2,41,TA,244939
73,RL,12878.0,NWAmes,1,1923,1945,Gd,PConc,514.0,Gd,1557,2,0,4,7,0,2.0,497.551587208164,8,33,TA,152300
74,RL,12273.0,SawyerW,8,1960,1976,Ex,CBlock,894.0,Gd,1268,2,1,2,4,0,3.0,605.9106799792149,186,19,TA,224202
75,RL,6129.0,NWAmes,8,1960,1999,TA,PConc,982.0,Gd,1258,1,0,2,4,0,0.0,0.0,25,4,TA,191993
76,RM,,Somerst,8,1997,2010,TA,CBlock,1392.0,Ex,946,1,0,3,5,0,0.0,0.0,92,46,TA,175673
77,RL,11128.0,Somerst,8,1927,1928,TA,PConc,439.0,Gd,1285,3,1,3,7,0,2.0,539.1261571140319,61,0,TA,194775
78,RL,11819.0,SawyerW,4,1957,1993,TA,PConc,1124.0,Ex,1394,2,1,3,5,1,1.0,262.2041856289267,46,146,Gd,197012
79,RM,,OldTown,6,1942,1947,TA,PConc,732.0,Ex,1075,2,1,3,6,0,2.0,593.1529439088079,147,52,TA,171472
80,RM,11358.0,NoRidge,4,1940,1957,TA,CBlock,1188.0,Fa,1481,2,0,2,5,0,3.0,677.5490107816755,13,33,TA,189132
81,RL,18102.0,Timber,9,1938,1967,Fa,PConc,727.0,Gd,1689,2,0,2,6,1,2.0,445.2103066204005,30,101,TA,245540
82,RL,9771.0,NridgHt,7,1985,2006,TA,CBlock,1471.0,Gd,1414,2,1,4,8,1,3.0,845.5367807630786,100,28,Gd,234459
83,RL,12809.0,Gilbert,6,1948,1980,Gd,CBlock,729.0,Gd,1765,2,0,2,4,0,0.0,0.0,40,1,Gd,211625
84,RL,8587.0,Crawfor,3,1916,1945,Fa,CBlock,261.0,Gd,1177,2,1,3,7,0,1.0,,14,24,Gd,123947
85,RL,12371.0,Timber,6,1997,2010,Ex,CBlock,763.0,Gd,1901,1,0,3,6,0,0.0,,11,9,TA,226012
86,RL,12817.0,SawyerW,6,1969,2000,TA,CBlock,921.0,Gd,1548,3,1,4,7,0,,601.3455878646433,69,13,Gd,208010
87,RL,11093.0,NoRidge,8,2009,2010,Gd,CBlock,1324.0,Fa,2118,2,0,4,8,1,3.0,787.0500595394312,0,18,Gd,290608
88,RL,,Timber,7,1969,1978,TA,PConc,622.0,Ex,2465,1,0,4,7,0,1.0,273.61484554054516,122,44,Gd,246231
89,RL,,Crawfor,9,1997,2010,TA,BrkTil,628.0,Gd,1311,3,1,2,6,1,2.0,430.4572074482386,0,20,Gd,242688
90,FV,8538.0,NWAmes,6,1964,1997,Gd,PConc,,TA,1328,3,0,4,7,2,2.0,539.3986714722307,49,19,TA,188674
91,RL,10637.0,Gilbert,4,1973,1981,TA,PConc,587.0,Ex,1401,3,1,3,5,1,3.0,622.2412608806208,46,10,TA,179392
92,RL,12642.0,OldTown,8,1984,2010,TA,PConc,946.0,Ex,1738,2,1,3,7,0,1.0,190.60535903197945,43,23,Ex,231803
93,RL,10538.0,Crawfor,8,1904,1914,Gd,CBlock,952.0,Fa,2030,3,1,3,7,1,2.0,543.6094376108521,32,8,TA,252561
94,RL,13857.0,Mitchel,7,1901,1914,Gd,PConc,1065.0,Ex,1238,1,1,4,8,1,0.0,0.0,95,9,Ex,183535
95,RL,8014.0,Gilbert,8,1921,1959,Gd,CBlock,775.0,Ex,1652,2,0,4,7,1,2.0,484.7728354550499,53,42,Gd,218339
96,RL,6578.0,Mitchel,7,1956,1974,TA,CBlock,721.0,Ex,1445,2,0,4,6,1,2.0,467.2069590887325,76,12,TA,213296
97,RL,10924.0,NAmes,7,1965,1979,TA,CBlock,1100.0,Ex,1747,1,0,4,8,1,3.0,903.9763790621734,6,1,TA,236758
98,FV,9768.0,CollgCr,6,1973,2000,TA,PConc,731.0,TA,2103,1,0,3,6,1,2.0,488.31299785312353,2,12,TA,213029
99,RL,11628.0,Edwards,2,1997,2010,Gd,CBlock,592.0,Ex,1403,3,0,3,7,2,2.0,496.0538765865644,1,30,TA,170989
100,C,9917.0,Gilbert,4,1915,1922,Ex,PConc,,Ex,832,1,0,1,4,1,2.0,601.6374335864201,7,50,TA,123911
101,RL,8979.0,Timber,3,1950,1958,Gd,PConc,1146.0,TA,1797,2,0,4,6,1,1.0,239.3924556091537,54,98,Gd,198797
102,RL,9775.0,NWAmes,7,1938,1970,Gd,PConc,1530.0,Ex,1166,1,0,2,5,1,2.0,460.758343439308,34,41,Gd,208386
103,RL,10086.0,Timber,6,1985,2010,TA,CBlock,1235.0,Gd,1442,1,0,4,7,1,4.0,,69,16,Gd,241420
104,RL,9085.0,Somerst,7,1975,1993,Fa,CBlock,619.0,TA,1814,2,1,3,7,1,3.0,685.9329461058796,10,10,TA,221566
105,RL,9390.0,Timber,9,1987,1989,Gd,CBlock,1028.0,TA,1618,1,0,3,6,0,3.0,736.9858615690036,22,4,Gd,261933
106,RL,8789.0,Sawyer,5,2010,2010,Fa,CBlock,695.0,TA,1459,2,0,2,6,1,3.0,631.2757258459021,109,29,Gd,192823
107,RL,12569.0,Gilbert,6,1939,1978,Ex,CBlock,504.0,Ex,1269,2,1,3,6,1,,255.5619126512954,137,21,TA,184657
108,RL,10582.0,Somerst,8,1937,1937,TA,PConc,865.0,Ex,500,1,0,4,6,1,2.0,504.0858492321856,127,33,Gd,151891
109,RL,16770.0,Mitchel,5,1959,1987,Gd,PConc,1294.0,Ex,1779,1,1,2,5,1,0.0,,85,8,Ex,217341
110,RL,10482.0,OldTown,4,1958,1991,TA,BrkTil,1082.0,Ex,1398,2,1,3,7,0,2.0,551.4353921997039,58,11,Gd,166912
111,RL,8347.0,OldTown,6,1909,1921,Ex,CBlock,582.0,Gd,2105,1,0,2,5,0,1.0,266.5455402540875,122,10,Ex,208719
112,RM,18012.0,Mitchel,5,1998,1998,Fa,CBlock,855.0,Ex,1659,2,1,3,6,1,2.0,523.6553415668608,62,47,TA,210390
113,RH,11240.0,NridgHt,9,1963,1996,Gd,CBlock,957.0,Gd,1283,2,1,2,4,2,,495.6047531748595,153,5,TA,220152
114,RL,12970.0,SawyerW,8,1962,1990,Gd,CBlock,493.0,Ex,1926,1,0,3,7,0,3.0,804.8600372096223,1,28,Gd,237757
115,RL,11776.0,BrkSide,7,1948,1960,TA,CBlock,1213.0,Ex,1960,2,1,4,6,1,,433.2600695798608,127,1,Gd,260050
116,RL,11869.0,Edwards,9,1963,1991,Gd,PConc,931.0,Ex,1412,1,0,3,6,1,3.0,538.5930535331122,40,23,TA,228596
117,FV,11606.0,OldTown,8,1931,1969,TA,BrkTil,582.0,Ex,1977,1,0,3,5,1,1.0,284.8575301363868,5,1,TA,224479
118,RL,6693.0,Edwards,5,1906,1929,Fa,PConc,565.0,Gd,1277,1,0,3,6,1,0.0,0.0,12,5,TA,131676
119,RL,11102.0,OldTown,9,1920,1945,TA,PConc,1330.0,Gd,1563,2,0,2,5,0,2.0,492.3808139432051,95,3,TA,213147
120,RL,6025.0,Mitchel,7,1919,1935,TA,PConc,885.0,TA,1728,3,0,3,5,1,2.0,564.4735165067592,35,12,Gd,224181
121,RL,9476.0,Timber,8,1925,1931,Gd,CBlock,1357.0,TA,1813,2,1,3,5,1,,456.11015498320836,203,12,Fa,231596
122,RL,7823.0,Crawfor,9,1967,1979,TA,CBlock,1471.0,Gd,1748,2,0,3,6,1,2.0,457.670448075011,6,52,TA,248195
123,RM,11072.0,Timber,6,2009,2010,TA,CBlock,1306.0,Gd,1366,1,0,3,5,1,2.0,449.35173657834997,26,7,Gd,215512
124,RL,11002.0,Timber,4,1985,2010,TA,BrkTil,839.0,Ex,1937,2,0,3,5,0,2.0,534.057318506953,20,2,Gd,214744
125,RH,11443.0,SawyerW,5,1914,1916,Gd,PConc,250.0,Ex,1450,2,1,4,7,2,2.0,405.0225153671148,36,27,Gd,185293
126,RL,10861.0,BrkSide,6,2003,2009,TA,CBlock,1093.0,TA,1272,3,1,4,8,1,2.0,453.9823035930775,50,34,Gd,217098
127,C,8179.0,BrkSide,8,1984,2010,Gd,CBlock,1627.0,Ex,1278,1,1,2,4,1,2.0,517.3829013941681,54,10,TA,215509
128,RM,9216.0,Mitchel,9,1978,1978,Gd,Slab,989.0,Ex,2275,1,1,3,5,2,2.0,427.75093544464335,0,27,TA,271982
129,RL,12761.0,Crawfor,1,1985,2001,Gd,PConc,403.0,Ex,1203,2,1,3,7,2,2.0,460.3813756603289,4,44,Gd,138010
130,RL,13203.0,NridgHt,7,1991,2010,Gd,Slab,797.0,Ex,2016,2,1,2,4,1,1.0,183.6529726865631,1,12,Gd,239833
131,RL,6559.0,Mitchel,6,1913,1915,Gd,PConc,944.0,Gd,1045,2,1,4,7,1,2.0,536.3483989640922,99,22,TA,182196
132,RL,5407.0,Gilbert,5,1926,1940,Ex,CBlock,670.0,Ex,1695,2,0,4,6,1,2.0,458.7298883994633,18,4,Gd,218136
133,RL,7819.0,Edwards,4,2004,2010,TA,CBlock,230.0,Ex,1618,3,0,3,6,0,3.0,651.0646874872962,22,0,TA,194529
134,RL,13135.0,OldTown,6,1939,1970,Ex,CBlock,970.0,Ex,2148,2,1,3,7,0,2.0,,29,119,TA,249807
135,RL,13644.0,OldTown,9,1957,1982,TA,PConc,764.0,Gd,1238,3,0,2,6,1,2.0,474.90718926769404,94,10,TA,214707
136,RL,7225.0,BrkSide,6,1927,1942,Gd,PConc,,Gd,1127,3,0,3,7,1,2.0,405.1906647865136,0,9,TA,168120
137,RM,,OldTown,7,1925,1949,Ex,PConc,1030.0,Ex,1453,2,0,4,6,0,2.0,616.54278062892,6,108,TA,201251
138,RL,15503.0,NWAmes,8,1962,1989,TA,CBlock,1140.0,TA,2165,2,1,3,7,2,2.0,356.9153229698609,57,39,Fa,241867
139,RL,11245.0,BrkSide,6,1965,1973,TA,CBlock,964.0,Ex,1146,1,0,3,5,1,2.0,472.9628510128106,166,26,Gd,196631
140,RL,14264.0,BrkSide,10,1924,1924,TA,BrkTil,1028.0,Gd,500,2,1,3,5,1,2.0,506.4144157574753,51,36,TA,175344
141,RL,12996.0,NoRidge,10,1902,1930,TA,CBlock,504.0,Gd,1523,2,1,3,5,0,,453.47725975180674,15,37,Ex,232517
142,RL,7269.0,NoRidge,5,1971,1992,Gd,PConc,687.0,Fa,1879,2,1,3,7,0,2.0,512.7279042375869,36,43,Gd,212229
143,RL,9430.0,Crawfor,7,1943,1958,TA,PConc,1326.0,Ex,1094,1,1,3,7,1,1.0,226.01195275161515,184,2,Ex,211714
144,RM,10104.0,Timber,6,1996,2002,TA,PConc,1062.0,Ex,1839,1,1,3,5,0,2.0,591.805667820389,37,15,TA,221899
145,RL,10312.0,OldTown,6,1941,1954,Gd,CBlock,880.0,Ex,1085,2,0,3,7,1,1.0,216.43368957670668,23,10,Gd,168739
146,RL,12748.0,OldTown,3,1998,2010,TA,CBlock,1145.0,Ex,1441,1,0,4,6,1,1.0,179.46328175955043,24,2,TA,170775
147,RM,11226.0,Sawyer,7,1905,1923,TA,Slab,1151.0,Ex,1801,2,0,1,5,1,4.0,844.1800179456014,170,15,TA,237238
148,RL,2000.0,Edwards,7,1938,1956,Gd,PConc,1597.0,Ex,1025,2,1,4,7,1,3.0,784.7845297332342,63,28,Ex,211366
149,RL,6061.0,Gilbert,3,1951,1952,TA,PConc,1048.0,Ex,1572,2,1,3,7,0,1.0,246.46226861353406,58,5,TA,166988
150,RL,3437.0,OldTown,5,1922,1936,TA,PConc,681.0,TA,1985,1,1,3,7,0,2.0,545.127974478927,13,10,TA,181919
151,RL,10526.0,Sawyer,9,1988,1990,TA,CBlock,965.0,Ex,1689,2,0,4,8,1,1.0,265.052338501329,40,30,TA,229760
152,FV,10721.0,OldTown,5,1949,1959,Gd,Slab,1182.0,Fa,1211,2,0,3,5,1,2.0,461.82317901648776,22,25,Ex,200827
153,RM,10849.0,Somerst,5,1942,1971,TA,PConc,1298.0,TA,2107,3,0,4,6,0,3.0,705.9824855584009,13,60,TA,230316
154,RL,7123.0,NAmes,7,1918,1957,Gd,PConc,515.0,TA,1763,2,0,2,5,0,3.0,715.3204101912097,112,46,TA,200269
155,RL,12022.0,Crawfor,10,1968,1985,Ex,CBlock,1076.0,TA,755,1,0,2,5,0,2.0,613.0607650097992,24,101,Gd,196285
156,RM,12148.0,Somerst,5,1950,1951,Gd,CBlock,730.0,Gd,1845,1,0,3,6,1,2.0,,16,27,Gd,208690
157,RL,6234.0,NridgHt,7,1910,1941,TA,PConc,830.0,TA,1271,1,1,4,6,0,2.0,613.5012139507103,134,35,TA,170934
158,RL,5601.0,Gilbert,8,1911,1918,TA,CBlock,1253.0,Ex,1578,2,0,4,7,0,,550.4467623405088,10,59,TA,212122
159,RL,9999.0,CollgCr,5,1973,1994,TA,PConc,1223.0,Gd,1903,1,0,3,6,1,3.0,744.2774944570604,68,54,Gd,222825
160,RL,15375.0,CollgCr,8,1907,1912,Fa,BrkTil,796.0,TA,1280,2,1,3,7,0,3.0,658.2574661712902,52,38,Gd,200386
161,RL,15099.0,NoRidge,6,1923,1934,Gd,PConc,952.0,Ex,841,2,0,3,6,1,2.0,512.0911802689246,126,20,TA,171983
162,FV,11690.0,NWAmes,7,1991,2010,Ex,PConc,839.0,Ex,2102,1,0,5,9,0,2.0,496.3478496670262,89,9,Ex,275437
163,RL,7810.0,Timber,7,1940,1975,TA,PConc,1867.0,Gd,1965,1,0,3,5,2,2.0,494.3811628797072,61,62,TA,250896
164,RL,,Timber,7,1935,1949,Fa,PConc,1083.0,Gd,1465,2,0,3,5,0,0.0,0.0,18,44,Gd,187665
165,RL,8642.0,SawyerW,4,2000,2010,TA,CBlock,748.0,TA,1841,3,0,3,7,0,3.0,565.2783563181399,34,54,TA,227590
166,FV,7697.0,NAmes,8,1984,2001,Ex,CBlock,1396.0,Ex,1352,1,0,3,6,2,2.0,575.6503889920793,144,4,Gd,239658
167,RL,3568.0,CollgCr,6,1971,1972,Gd,CBlock,,Gd,1538,1,0,3,5,0,2.0,496.97279064696096,1,11,TA,172811
168,RL,10307.0,CollgCr,5,1954,1966,Gd,CBlock,1537.0,Ex,1442,3,0,5,9,1,2.0,415.1448130382815,79,16,TA,214574
169,RM,,Timber,3,1908,1922,Gd,PConc,1626.0,TA,1368,1,0,3,5,0,3.0,793.358643816628,14,54,TA,182882
170,RL,10289.0,Mitchel,7,1946,1965,Ex,PConc,1212.0,Ex,1643,3,1,4,6,0,1.0,224.32491494180417,10,67,TA,212417
171,RL,3101.0,Timber,7,1914,1942,TA,Slab,895.0,TA,1016,1,0,1,4,1,3.0,800.5926560673705,13,10,Gd,177164
172,RL,10509.0,SawyerW,2,1947,1975,TA,CBlock,939.0,Ex,1399,2,1,3,5,2,3.0,,3,34,Gd,179889
173,RL,2706.0,Gilbert,7,2009,2010,TA,PConc,912.0,Ex,1625,2,0,3,7,0,3.0,841.7672841602385,241,2,TA,243191
174,RM,13263.0,NridgHt,5,2003,2010,Ex,PConc,878.0,Ex,2235,3,0,3,6,1,2.0,490.3449964007108,101,15,TA,262576
175,RL,11565.0,NWAmes,7,1981,1983,Ex,CBlock,1371.0,Ex,1032,2,1,4,8,1,2.0,475.17333631888897,36,20,TA,203536
176,RM,9164.0,BrkSide,5,1941,1954,TA,PConc,1000.0,Gd,1708,2,0,1,5,0,2.0,,62,43,Gd,198720
177,RM,,Timber,7,1959,1998,TA,CBlock,1291.0,Ex,1752,1,0,1,5,1,2.0,456.6466346923702,40,66,TA,235721
178,RL,7065.0,Gilbert,6,1983,1986,TA,CBlock,1202.0,Ex,749,1,1,3,6,0,1.0,249.4830980736725,83,12,Fa,131360
179,RL,10217.0,OldTown,9,1969,1979,TA,PConc,,Ex,1664,2,0,2,4,0,2.0,,93,22,Gd,210331
180,RL,12384.0,OldTown,5,1911,1941,TA,PConc,484.0,TA,1852,2,1,5,9,0,2.0,450.48177105067003,13,31,TA,199376
181,FV,2000.0,NAmes,6,1901,1932,Ex,CBlock,629.0,Ex,1735,3,1,3,5,1,3.0,647.0593721577386,30,11,Gd,222889
182,RL,8658.0,Sawyer,4,1906,1932,Gd,PConc,871.0,Ex,1466,2,0,3,5,0,0.0,0.0,50,127,TA,154200
183,RL,9932.0,NAmes,9,1979,2008,TA,PConc,1040.0,Gd,1633,2,0,2,6,1,2.0,473.94814292337014,191,62,Gd,233783
184,RL,9411.0,BrkSide,9,1902,1903,TA,CBlock,805.0,TA,1567,2,0,3,5,0,3.0,647.276972404632,57,10,Gd,230643
